benefit_id,card_id,owner,card_name,benefit_name,benefit_type,category,frequency,cycle_rule,current_cycle,expiration_date,face_value,realistic_value,used_amount,remaining_amount,usage_percent,status,days_until_expiry,priority,include_in_alert,notes,source_url,review_needed
amex_gold_p1_uber_monthly,amex_gold_p1,Eason,American Express Gold Card,Uber Cash,Credit,Rideshare,Monthly,Calendar Month,2026-05,2026-05-31,10.0,10.0,0.0,10.0,0.0,Not Used,29.0,High,Yes,$10 monthly Uber Cash; add card to Uber account.,https://global.americanexpress.com/card-benefits/detail/uber-cash/gold,
amex_gold_p1_dining_monthly,amex_gold_p1,Eason,American Express Gold Card,Dining Credit,Credit,Dining,Monthly,Calendar Month,2026-05,2026-05-31,10.0,10.0,0.0,10.0,0.0,Not Used,29.0,High,Yes,"Monthly dining statement credit after enrollment. Eligible partners: Grubhub (including Seamless), The Cheesecake Factory, Goldbelly, Wine.com, and Five Guys. Purchases must be from participating U.S. partner locations; in-person and online orders qualify when Amex receives eligible transaction information.",https://global.americanexpress.com/card-benefits/detail/dining-credit/gold,
amex_gold_p1_dunkin_monthly,amex_gold_p1,Eason,American Express Gold Card,Dunkin Credit,Credit,Dining,Monthly,Calendar Month,2026-05,2026-05-31,7.0,7.0,7.0,0.0,1.0,Used,29.0,Medium,Yes,Up to $7 monthly at U.S. Dunkin locations; enrollment required.,https://global.americanexpress.com/card-benefits/detail/dunkin-credit/gold,
amex_gold_p1_resy_h1,amex_gold_p1,Eason,American Express Gold Card,Resy Credit H1,Credit,Dining,Semiannual,Jan-Jun,2026-H1,2026-06-30,50.0,50.0,50.0,0.0,1.0,Used,59.0,Medium,Yes,Up to $50 semi-annually on eligible Resy purchases.,https://global.americanexpress.com/card-benefits/detail/resy-credit/gold,
amex_gold_p1_resy_h2,amex_gold_p1,Eason,American Express Gold Card,Resy Credit H2,Credit,Dining,Semiannual,Jul-Dec,2026-H2,2026-12-31,50.0,50.0,0.0,50.0,0.0,Not Used,243.0,Medium,Yes,Up to $50 semi-annually on eligible Resy purchases.,https://global.americanexpress.com/card-benefits/detail/resy-credit/gold,
amex_platinum_p1_uber_monthly,amex_platinum_p1,Eason,American Express Platinum Card,Uber Cash,Credit,Rideshare,Monthly,Calendar Month,2026-05,2026-05-31,15.0,15.0,0.0,15.0,0.0,Not Used,29.0,High,Yes,$15 monthly Uber Cash; December typically has bonus cash.,https://www.americanexpress.com/en-us/account/get-started/platinum/benefits-overview,
amex_platinum_p1_uber_one_annual,amex_platinum_p1,Eason,American Express Platinum Card,Uber One Membership Credit,Credit,Rideshare,Annual,Calendar Year,2026,2026-12-31,120.0,120.0,0.0,120.0,0.0,Not Used,243.0,High,Yes,Up to $120 per calendar year in statement credits for auto-renewing Uber One membership fees charged directly to an eligible U.S. Consumer Platinum Card. Turn off Uber Cash for membership payments; monthly and annual memberships can qualify.,https://www.americanexpress.com/en-us/account/get-started/platinum/benefits-overview,
amex_platinum_p1_digital_entertainment,amex_platinum_p1,Eason,American Express Platinum Card,Digital Entertainment Credit,Credit,Entertainment,Monthly,Calendar Month,2026-05,2026-05-31,25.0,25.0,25.0,0.0,1.0,Used,29.0,High,Yes,Up to $25/month; enrollment required.,https://www.americanexpress.com/us/credit-cards/card/platinum/,
amex_platinum_p1_resy_quarterly,amex_platinum_p1,Eason,American Express Platinum Card,Resy Credit Q2,Credit,Dining,Quarterly,Calendar Quarter,2026-Q2,2026-06-30,100.0,100.0,0.0,100.0,0.0,Not Used,59.0,High,Yes,Up to $100 per quarter on eligible Resy purchases; enrollment required.,https://global.americanexpress.com/card-benefits/detail/400-resy-credit/platinum,
amex_platinum_p1_lululemon_quarterly,amex_platinum_p1,Eason,American Express Platinum Card,lululemon Credit Q2,Credit,Shopping,Quarterly,Calendar Quarter,2026-Q2,2026-06-30,75.0,60.0,75.0,0.0,1.0,Used,59.0,Medium,Yes,Up to $75/quarter at eligible lululemon stores; enrollment required.,https://www.americanexpress.com/en-us/newsroom/articles/products-and-services/there-s-nothing-like-platinum---american-express-unveils-updated.html,
